user_id,job_id,interaction_type,timestamp
1,36,CLICK_FROM_SEARCH,1756771068.93172
1,14,APPLY,1755326059.355359
1,9,SAVE,1755326003.798662
1,74,APPLY,1755112635.173355
1,102,SKIP_FROM_SEARCH,1758906141.407729
1,20,SAVE,1756783004.313831
1,166,SAVE,1757389858.727134
1,80,SAVE,1755036742.46193
1,70,APPLY,1761807224.338888
1,40,SAVE,1758469127.639461
1,39,SAVE,1755460317.350664
1,92,SAVE,1755386428.561309
1,236,CLICK_FROM_RECOMMENDED,1755390185.213166
1,16,SAVE,1755701501.857251
1,109,SAVE,1756442504.310374
1,60,APPLY,1756095712.665001
1,76,SAVE,1755665478.104705
1,65,APPLY,1756836053.586041
1,99,APPLY,1755288364.531026
1,69,CLICK_FROM_SIMILAR,1755667990.762513
1,89,APPLY,1755883311.519401
1,54,SKIP_FROM_SEARCH,1756180077.640379
1,157,CLICK_FROM_SEARCH,1757986056.212624
1,184,SAVE,1755429307.123158
1,211,APPLY,1756399933.284564
1,114,CLICK_FROM_SIMILAR,1756741057.785406
1,104,APPLY,1755088772.731106
1,90,APPLY,1756814595.999323
1,30,SAVE,1755359761.281024
1,84,SAVE,1755127069.688809
1,205,APPLY,1760777157.677757
1,59,APPLY,1761548813.992925
1,24,CLICK_FROM_SIMILAR,1758208441.184728
1,79,APPLY,1755702540.206959
1,219,CLICK_FROM_RECOMMENDED,1755196107.707545
1,44,SAVE,1757237256.090644
1,285,CLICK_FROM_SEARCH,1756124005.205166
1,29,SAVE,1755249324.549987
1,34,SAVE,1756325124.418673
1,19,CLICK_FROM_SIMILAR,1755064336.401666
1,757,CLICK_FROM_SEARCH,1759662730.700272
1,10,SKIP_FROM_SEARCH,1755578454.525358
1,64,SKIP_FROM_SEARCH,1757107989.87959
1,527,SAVE,1755722483.161922
1,245,APPLY,1756423420.188828
1,111,SKIP_FROM_SEARCH,1756534447.670457
1,100,APPLY,1755393640.044623
1,45,CLICK_FROM_RECOMMENDED,1761786325.673219
1,94,APPLY,1757897233.620337
1,145,SAVE,1760449412.158283
1,25,SKIP_FROM_SEARCH,1759374492.090386
1,140,SKIP_FROM_SEARCH,1756767398.384853
1,146,CLICK_FROM_SEARCH,1759952410.98448
1,283,APPLY,1755176430.819385
1,194,APPLY,1755420362.453543
1,50,SAVE,1755086280.748475
1,188,SAVE,1755761334.983925
1,61,SAVE,1755953009.894428
1,110,CLICK_FROM_SEARCH,1755611702.108778
1,1,CLICK_FROM_SEARCH,1758426609.097208
1,790,SAVE,1755854053.894266
1,124,CLICK_FROM_RECOMMENDED,1755637445.328401
1,96,CLICK_FROM_SEARCH,1756517307.976936
1,187,SKIP_FROM_SEARCH,1755291598.606543
1,240,APPLY,1758146528.717366
1,242,SKIP_FROM_RECOMMENDED,1755146921.696149
1,216,CLICK_FROM_SEARCH,1762772308.60718
1,222,SAVE,1757872425.068193
1,12,SAVE,1755426981.279523
1,112,SAVE,1755007073.352391
1,925,SKIP_FROM_SEARCH,1758281467.942613
1,49,SAVE,1757381783.05114
1,182,CLICK_FROM_SEARCH,1757534517.301864
1,81,SKIP_FROM_SEARCH,1757864125.645809
1,91,SAVE,1755145859.099339
1,85,CLICK_FROM_SEARCH,1755859235.962357
1,133,SAVE,1755235712.410531
1,119,SAVE,1758862010.094484
1,177,CLICK_FROM_SEARCH,1756894238.123869
1,120,SAVE,1755777444.356813
1,4,APPLY,1755123967.327104
1,21,SAVE,1755720425.960378
1,5,SKIP_FROM_SEARCH,1755760911.43761
1,52,CLICK_FROM_SIMILAR,1757538819.131194
1,150,CLICK_FROM_SEARCH,1756969253.520932
1,268,SAVE,1759238606.324889
1,169,CLICK_FROM_RECOMMENDED,1756238653.170464
1,105,CLICK_FROM_SEARCH,1755243920.540369
1,125,CLICK_FROM_RECOMMENDED,1757424610.220531
1,56,CLICK_FROM_SIMILAR,1757776992.119161
1,165,CLICK_FROM_RECOMMENDED,1756597945.897238
1,32,SAVE,1757861550.702486
1,336,CLICK_FROM_SEARCH,1756319812.445236
1,11,CLICK_FROM_SEARCH,1756434244.269763
1,250,CLICK_FROM_SIMILAR,1756080699.400138
2,92,APPLY,1755218250.117623
2,101,SAVE,1755058387.700044
2,107,SAVE,1756963110.870613
2,41,SAVE,1755729967.825508
2,16,APPLY,1756377398.495959
2,11,APPLY,1759625488.813631
2,56,SAVE,1755553728.89549
2,169,SAVE,1756023288.782782
2,76,SAVE,1757734916.966425
2,80,SKIP_FROM_RECOMMENDED,1755501369.848657
2,31,CLICK_FROM_SEARCH,1755152031.341112
2,89,SAVE,1755661429.374366
2,20,SKIP_FROM_RECOMMENDED,1755338080.072534
2,61,SKIP_FROM_RECOMMENDED,1760157531.590562
2,21,CLICK_FROM_RECOMMENDED,1758205633.108072
2,111,APPLY,1756947101.329982
2,179,CLICK_FROM_SEARCH,1758984462.979742
2,104,SAVE,1758161080.24441
2,827,CLICK_FROM_RECOMMENDED,1755397735.829651
2,74,CLICK_FROM_RECOMMENDED,1759333009.883388
2,96,CLICK_FROM_SEARCH,1756503102.833032
2,229,CLICK_FROM_SEARCH,1758198753.701904
2,9,SAVE,1759397996.333822
2,51,CLICK_FROM_SIMILAR,1755740337.136327
2,116,CLICK_FROM_SEARCH,1755222963.782891
2,81,SAVE,1755499195.658105
2,44,SAVE,1756079228.778313
2,65,CLICK_FROM_SEARCH,1758308553.612196
2,36,APPLY,1758828603.248944
2,91,SAVE,1755009870.763059
2,71,CLICK_FROM_SIMILAR,1756386027.877364
2,1,SAVE,1756046599.959476
2,121,SKIP_FROM_SEARCH,1755484577.929218
2,24,CLICK_FROM_SIMILAR,1755244519.304775
2,90,SAVE,1755797058.902863
2,243,CLICK_FROM_RECOMMENDED,1760562216.086122
2,34,CLICK_FROM_SEARCH,1755755214.736412
2,68,CLICK_FROM_RECOMMENDED,1756418252.878008
2,102,SAVE,1757356493.706666
2,97,CLICK_FROM_RECOMMENDED,1755874947.049602
2,63,CLICK_FROM_SEARCH,1761932108.204449
2,47,CLICK_FROM_SEARCH,1761376535.800278
2,32,CLICK_FROM_RECOMMENDED,1755560187.781075
2,878,CLICK_FROM_RECOMMENDED,1756333118.260944
2,54,CLICK_FROM_SEARCH,1755692125.438004
2,46,SAVE,1755648033.994495
2,59,CLICK_FROM_SEARCH,1755069372.848386
2,64,SAVE,1756824625.2096
2,185,SAVE,1756354230.789831
2,326,SKIP_FROM_SIMILAR,1755099051.137477
3,5,CLICK_FROM_RECOMMENDED,1755300604.623394
3,26,CLICK_FROM_RECOMMENDED,1756303205.610455
3,169,CLICK_FROM_SEARCH,1762772308.629638
3,83,SKIP_FROM_SEARCH,1755535078.147198
3,62,SAVE,1757164169.969656
3,505,SKIP_FROM_SIMILAR,1757783786.175048
3,25,CLICK_FROM_SEARCH,1755523780.316659
3,45,SKIP_FROM_SEARCH,1757528852.546627
3,61,CLICK_FROM_SIMILAR,1755887676.951408
3,271,SAVE,1756941287.915229
