user_id,job_id,event_type,occurred_at
6,77,CLICK_FROM_RECOMMENDED,1708784780
42,57,CLICK_FROM_RECOMMENDED,1708736700
20,53,CLICK_FROM_SEARCH,1708452500
20,25,CLICK_FROM_SEARCH,1708158804
49,54,CLICK_FROM_SEARCH,1708201618
12,72,SAVE,1708808709
29,50,CLICK_FROM_SEARCH,1709079366
42,73,SAVE,1708694477
45,24,SAVE,1708301245
12,37,CLICK_FROM_RECOMMENDED,1708624173
41,60,CLICK_FROM_SEARCH,1708912403
15,100,CLICK_FROM_SEARCH,1708348301
36,74,APPLY,1708368926
14,27,SAVE,1708789217
2,63,CLICK_FROM_RECOMMENDED,1708563111
15,53,CLICK_FROM_SEARCH,1709046156
40,47,CLICK_FROM_RECOMMENDED,1708184722
49,6,CLICK_FROM_SEARCH,1708238922
4,1,CLICK_FROM_RECOMMENDED,1708928835
20,83,SAVE,1709021842
12,79,CLICK_FROM_SEARCH,1708703968
31,58,CLICK_FROM_SEARCH,1709195997
18,54,CLICK_FROM_SEARCH,1708802856
16,51,CLICK_FROM_RECOMMENDED,1708141793
2,63,CLICK_FROM_SEARCH,1708861640
4,44,SAVE,1709080412
7,27,CLICK_FROM_SEARCH,1709166159
6,56,SAVE,1708114011
2,55,SAVE,1708486680
42,10,CLICK_FROM_SEARCH,1708440349
42,95,CLICK_FROM_SEARCH,1708708382
32,73,CLICK_FROM_RECOMMENDED,1708675369
2,33,CLICK_FROM_SEARCH,1709124291
14,81,CLICK_FROM_SEARCH,1708982539
25,93,SAVE,1708464891
8,58,CLICK_FROM_RECOMMENDED,1709122241
15,67,SAVE,1708478613
1,52,CLICK_FROM_SEARCH,1709178266
49,22,APPLY,1708628638
37,15,CLICK_FROM_SEARCH,1708559633
47,6,SAVE,1708328324
43,33,CLICK_FROM_RECOMMENDED,1708355013
12,86,CLICK_FROM_SEARCH,1708481336
36,38,APPLY,1709213501
7,53,CLICK_FROM_SEARCH,1708482505
9,55,CLICK_FROM_RECOMMENDED,1709206967
43,15,APPLY,1709151896
7,59,CLICK_FROM_SEARCH,1708056408
44,63,CLICK_FROM_RECOMMENDED,1709081416
48,78,APPLY,1708628303
31,79,CLICK_FROM_SEARCH,1708915499
35,100,SAVE,1708770649
21,59,CLICK_FROM_SEARCH,1708806227
37,77,CLICK_FROM_RECOMMENDED,1709234556
14,50,CLICK_FROM_RECOMMENDED,1708927692
14,36,CLICK_FROM_SEARCH,1708816673
34,73,CLICK_FROM_RECOMMENDED,1709195044
20,18,CLICK_FROM_RECOMMENDED,1708366281
49,41,CLICK_FROM_RECOMMENDED,1708152002
32,41,CLICK_FROM_SEARCH,1709054253
23,39,CLICK_FROM_SEARCH,1709192276
8,65,SAVE,1708366835
24,97,APPLY,1708738929
5,64,CLICK_FROM_SEARCH,1708707054
28,90,CLICK_FROM_RECOMMENDED,1708109465
16,5,SAVE,1708728500
8,8,CLICK_FROM_RECOMMENDED,1708756635
36,63,CLICK_FROM_RECOMMENDED,1708388288
10,57,CLICK_FROM_SEARCH,1708316471
46,85,CLICK_FROM_SEARCH,1708094246
35,89,APPLY,1708483854
19,73,CLICK_FROM_SEARCH,1708810992
7,16,CLICK_FROM_RECOMMENDED,1708166777
13,61,CLICK_FROM_RECOMMENDED,1708125045
26,17,CLICK_FROM_RECOMMENDED,1708873261
39,66,CLICK_FROM_SEARCH,1708729811
37,82,APPLY,1708081567
12,79,CLICK_FROM_RECOMMENDED,1709132338
